,KNeighborsClassifier,SVC,DecisionTreeClassifier,RandomForestClassifier,MLPClassifier,GradientBoostingClassifier
0,0.8856447688564477,0.8815896188158961,0.894566098945661,0.9075425790754258,0.9034874290348743,0.878345498783455
1,0.8880778588807786,0.8905109489051095,0.9002433090024331,0.9075425790754258,0.9067315490673155,0.894566098945661
2,0.8856447688564477,0.884022708840227,0.894566098945661,0.8953771289537713,0.8978102189781022,0.6690997566909975
3,0.8880778588807786,0.878345498783455,0.8929440389294404,0.8978102189781022,0.8913219789132197,0.8718572587185726
4,0.9010543390105434,0.8921330089213301,0.9156528791565288,0.916463909164639,0.9221411192214112,0.8969991889699919
5,0.8824006488240065,0.8807785888077859,0.8937550689375506,0.8994322789943228,0.8961881589618816,0.8572587185725872
6,0.8880778588807786,0.8791565287915653,0.8929440389294404,0.8986212489862125,0.8872668288726683,0.8799675587996756
7,0.8856447688564477,0.8807785888077859,0.8994322789943228,0.9051094890510949,0.9018653690186537,0.8815896188158961
8,0.884022708840227,0.8880778588807786,0.8913219789132197,0.8969991889699919,0.894566098945661,0.8799675587996756
9,0.8905109489051095,0.8953771289537713,0.8978102189781022,0.9099756690997567,0.9042984590429846,0.8434712084347121
