,PageValues,ExitRates,ProductRelated,Administrative,Informational,SpecialDay,Revenue,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor
0,-0.31717784430961626,3.229315594758881,-0.6910031807070663,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,-0.31717784430961626,1.171472500128347,-0.66851798144781,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,-0.31717784430961626,3.229315594758881,-0.6910031807070663,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,-0.31717784430961626,1.9946097379805605,-0.66851798144781,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,-0.31717784430961626,0.14255095281308014,-0.48863638737375986,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,-0.31717784430961626,-0.3809354383438791,-0.2862695940404534,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,-0.31717784430961626,3.229315594758881,-0.6910031807070663,-0.6969929641233985,-0.39647790101721353,1.7021463861890365,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7,-0.31717784430961626,3.229315594758881,-0.7134883799663226,-0.39593771128091604,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,-0.31717784430961626,1.171472500128347,-0.66851798144781,-0.6969929641233985,-0.39647790101721353,3.713114137993839,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,-0.31717784430961626,-0.4290721336017195,-0.6460327821885538,-0.6969929641233985,-0.39647790101721353,1.7021463861890365,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10,-0.31717784430961626,0.485524808777646,-0.6460327821885538,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11,-0.31717784430961626,-0.35476113524877595,-0.3537251918182222,-0.6969929641233985,-0.39647790101721353,1.7021463861890365,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,-0.31717784430961626,-0.29841541578842107,-0.5560919851515287,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13,-0.31717784430961626,0.485524808777646,-0.578577184410785,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14,-0.31717784430961626,1.171472500128347,-0.66851798144781,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
15,-0.31717784430961626,-0.5506821410239723,-0.19632879700342828,-0.09488245843843363,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,-0.31717784430961626,3.229315594758881,-0.6910031807070663,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,-0.31717784430961626,-0.7280749655064747,-0.42118078959599103,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
18,-0.31717784430961626,1.171472500128347,-0.66851798144781,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19,-0.31717784430961626,-0.6805862850391334,-0.26378439478119714,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,-0.31717784430961626,-0.7148836768091194,-0.5336067858922724,-0.6969929641233985,-0.39647790101721353,4.71859801389624,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,-0.31717784430961626,3.229315594758881,-0.66851798144781,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,-0.31717784430961626,-0.20042290315148586,-0.6460327821885538,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
23,-0.31717784430961626,1.171472500128347,-0.66851798144781,-0.6969929641233985,-0.39647790101721353,3.713114137993839,0,0,0,1,0,0,0,0,0,0,0,0,0,1
24,-0.31717784430961626,3.229315594758881,-0.6910031807070663,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,-0.31717784430961626,-0.06323335664997329,-0.6010623836700413,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,-0.31717784430961626,-0.6903855280714546,0.006037996329878177,0.5072280472465313,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27,-0.31717784430961626,1.171472500128347,-0.6235475829292975,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,-0.31717784430961626,0.14255095281308014,-0.6235475829292975,-0.6969929641233985,-0.39647790101721353,0.6966625102866353,0,0,0,1,0,0,0,0,0,0,0,0,0,1
29,2.600782488527669,0.1594511126983189,0.2983455867002097,-0.39593771128091604,0.3908586297513874,1.7021463861890365,0,0,0,1,0,0,0,0,0,0,0,0,0,1
30,-0.31717784430961626,1.171472500128347,-0.66851798144781,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
31,-0.31717784430961626,0.485524808777646,-0.6460327821885538,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32,-0.31717784430961626,-0.3719098208445533,-0.5336067858922724,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33,-0.31717784430961626,0.7599038812022403,-0.48863638737375986,-0.6969929641233985,-0.39647790101721353,-0.3088213656157659,0,0,0,1,0,0,0,0,0,0,0,0,0,1
